,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,residential_complex,square_price
239,Диана Тухбатуллина,realtor,Москва,sale,flat,7,9,1,33.0,9380000.0,2021,Вторичка,1 лоджия,Наземная,22.0,10.0,2.7,unknown, Золотошвейная,Филатов Луг,unknown,284242.42424242425
243,Landis,real_estate_agent,Москва,sale,flat,7,17,1,37.9,11700000.0,1991,Вторичка,1 балкон,Наземная,18.9,8.4,2.7,Марьино,Люблинская ,Марьино,unknown,308707.1240105541
246,Метражи group,real_estate_agent,Москва,sale,flat,5,7,1,34.6,9000000.0,1978,Вторичка,1 балкон,unknown,18.0,8.0,2.7,Северное Измайлово,15-я Парковая ,Щёлковская,unknown,260115.60693641618
247,СМАРЕНТ,real_estate_agent,Москва,sale,flat,5,9,1,34.1,10990000.0,1970,Вторичка,unknown,Наземная,17.1,8.1,2.65,Чертаново Центральное,Чертановская ,Пражская,unknown,322287.3900293255
248,Группа Аквилон,developer,Москва,sale,flat,2,28,1,37.44,12475981.0,2027,Новостройка,2 балкона,unknown,11.7,11.6,2.82,Нижегородский,unknown,Нижегородская,Аквилон Бисайд 2.0 ЖК,333225.98824786325
252,Самолет,developer,Москва,sale,flat,12,23,1,32.11,6713382.0,2026,Новостройка,unknown,Открытая,11.2,10.6,2.7,unknown,unknown,Летово,Эко Бунино ЖК,209074.4939271255
253,Самолет,developer,Москва,sale,flat,9,9,1,36.46,6715221.0,2025,Новостройка,unknown,Открытая,24.2,3.9,2.78,unknown,unknown,Силикатная,Подольские Кварталы ЖК,184180.49917718046
254,Plus Development,developer,Москва,sale,flat,10,23,1,27.7,6923466.0,2026,Новостройка,unknown,Наземная,10.8,11.5,2.7,unknown,unknown,Филатов Луг,Детали ЖК,249944.62093862816
255,Самолет,developer,Москва,sale,flat,9,9,1,34.27,7233334.0,2026,Новостройка,unknown,Открытая,15.3,11.5,2.7,unknown,unknown,Рассказовка,Новое Внуково ЖК,211068.98161657425
256,Апрелевка С2,developer,Москва,sale,flat,1,3,1,45.9,7435800.0,2023,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown, Генерала Донскова,Апрелевка,Борисоглебское,162000.0
257,Апрелевка С2,developer,Москва,sale,flat,2,3,1,45.5,7371000.0,2023,Новостройка,unknown,unknown,22.0,8.7,2.7,ТАО (Троицкий), Генерала Донскова,unknown,Борисоглебское,162000.0
259,Самолет,developer,Москва,sale,flat,10,22,1,36.28,7726475.0,2026,Новостройка,unknown,Открытая,12.0,13.5,2.7,unknown,unknown,Летово,Эко Бунино ЖК,212967.88864388093
260,Самолет,developer,Москва,sale,flat,6,9,1,36.15,7831355.0,2026,Новостройка,1 балкон,Открытая,11.3,10.2,2.7,unknown,unknown,Рассказовка,Новое Внуково ЖК,216634.99308437068
261,А101,developer,Москва,sale,flat,3,9,1,33.9,7903030.0,2026,Новостройка,"1 лоджия, 1 балкон",unknown,12.9,9.9,2.95,unknown,unknown,Толстопальцево,Родные кварталы ЖК,233127.72861356934
262,Самолет,developer,Москва,sale,flat,9,9,1,38.28,8099436.0,2025,Новостройка,unknown,Открытая,25.4,4.3,2.7,unknown,unknown,Рассказовка,Новое Внуково ЖК,211584.01253918494
264,Самолет,developer,Москва,sale,flat,16,16,1,38.2,8254881.0,2024,Новостройка,unknown,Открытая,10.4,11.3,2.72,unknown,unknown,Филатов Луг,Цветочные Поляны,216096.36125654448
265,Самолет,developer,Москва,sale,flat,2,16,1,38.6,8275112.0,2024,Новостройка,unknown,Открытая,10.5,11.3,2.72,unknown,unknown,Филатов Луг,Цветочные Поляны,214381.13989637306
267,ПИК,developer,Москва,sale,flat,6,14,1,34.8,8509643.0,2026,Новостройка / Апартаменты,unknown,Открытая,11.4,14.8,2.63,Тимирязевский,к3.5,Окружная,Большая Академическая 85 ЖК,244529.97126436784
268,ПИК,developer,Москва,sale,flat,3,11,1,40.9,8645810.0,2026,Новостройка,unknown,Открытая,9.5,17.1,2.62,Южное Бутово,unknown,Щербинка,Никольские Луга ЖК,211388.99755501223
270,А101,developer,Москва,sale,flat,6,9,1,34.3,8829314.0,2026,Новостройка,"1 лоджия, 1 балкон",unknown,12.8,8.9,2.95,unknown,unknown,Толстопальцево,Родные кварталы ЖК,257414.40233236153
271,ПИК,developer,Москва,sale,flat,5,11,1,40.2,8961424.0,2026,Новостройка,1 балкон,Открытая,10.2,18.2,2.62,Южное Бутово,unknown,Щербинка,Никольские Луга ЖК,222920.9950248756
272,Самолет,developer,Москва,sale,flat,10,23,1,40.7,8950838.0,2025,Новостройка / Апартаменты,unknown,Открытая,14.4,13.4,2.6,unknown,unknown,Румянцево,Тропарево Парк,219922.30958230956
273,А101,developer,Москва,sale,flat,9,15,1,37.2,9083057.0,2026,Новостройка,"1 лоджия, 1 балкон",unknown,14.1,13.4,2.89,unknown,unknown,Бунинская аллея,Скандинавия ЖК,244168.19892473117
