,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,residential_complex,square_price
5743,Анна Швецова,realtor,Королёв,sale,flat,5,5,2,44.8,6300000.0,1962,Вторичка,1 балкон,Наземная,26.1,6.1,2.55,unknown,Пионерская ,Медведково,unknown,140625.0
5744,unknown,unknown,Королёв,sale,flat,4,4,2,42.5,11231800.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Щёлковская,Театральный Парк ЖК,264277.64705882355
5745,Антонина Смирнова,realtor,Королёв,sale,flat,1,5,2,44.3,6400000.0,1961,Вторичка,unknown,Наземная,28.0,6.0,2.6,unknown, Сакко и Ванцетти,Медведково,unknown,144469.52595936795
5746,unknown,unknown,Королёв,sale,flat,4,4,2,37.0,10046232.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Щёлковская,Театральный Парк ЖК,271519.7837837838
5747,Александр Кузин,realtor,Королёв,sale,flat,2,2,2,61.7,6500000.0,1957,Вторичка,unknown,Наземная,34.0,9.0,2.7,unknown,Заводская ,Медведково,unknown,105348.4602917342
5748,unknown,unknown,Королёв,sale,flat,16,17,2,55.8,7965653.0,2025,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,Советская ,Щёлковская,River Park,142753.63799283156
5749,unknown,unknown,Королёв,sale,flat,4,4,2,34.2,9533569.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Щёлковская,Театральный Парк ЖК,278759.3274853801
5750,Армида Хачатурова,realtor,Королёв,sale,flat,4,5,2,45.0,6500000.0,1966,Вторичка,1 балкон,Наземная,29.0,6.0,2.7,unknown,Кооперативная ,Медведково,unknown,144444.44444444444
5751,Александра Александрова,realtor,Королёв,sale,flat,5,12,2,55.0,6500000.0,1979,Вторичка,1 лоджия,unknown,29.2,8.1,2.7,unknown, Пионерская,Медведково,unknown,118181.81818181818
5752,unknown,unknown,Королёв,sale,flat,4,4,2,48.8,13250128.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Щёлковская,Театральный Парк ЖК,271519.01639344264
5753,Тёплый Дом,real_estate_agent,Королёв,sale,flat,10,17,2,50.2,7400000.0,2014,Вторичка,unknown,unknown,33.0,5.0,2.7,unknown,Советская ,Медведково,River Park,147410.35856573706
5754,Наталья Климова,realtor,Королёв,sale,flat,2,4,2,60.0,9000000.0,2017,Вторичка,unknown,Наземная,41.7,8.7,2.7,unknown,Бурковский проезд,Ботанический сад,Театральный парк,150000.0
5755,unknown,unknown,Королёв,sale,flat,4,4,2,40.7,10829775.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Щёлковская,Театральный Парк ЖК,266087.8378378378
5757,unknown,unknown,Королёв,sale,flat,4,4,2,38.5,10453432.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Щёлковская,Театральный Парк ЖК,271517.71428571426
5758,МИЭЛЬ,real_estate_agent,Королёв,sale,flat,7,14,2,53.7,7500000.0,2000,Вторичка,1 лоджия,unknown,28.7,7.5,2.7,unknown,Советская ,Медведково,unknown,139664.80446927375
5759,Городок,real_estate_agent,Королёв,sale,flat,11,12,2,52.5,7700000.0,2014,Вторичка,1 лоджия,unknown,30.3,8.9,2.7,unknown,проспект Космонавтов,Медведково,unknown,146666.66666666666
5760,unknown,unknown,Королёв,sale,flat,4,4,2,32.4,9266399.0,2024,Новостройка,unknown,unknown,22.0,8.7,2.7,unknown,unknown,Щёлковская,Театральный Парк ЖК,285999.9691358025
5761,Евгений Жданов,realtor,Королёв,sale,flat,11,12,2,54.0,7500000.0,1985,Вторичка,1 лоджия,Наземная,29.0,7.5,2.7,unknown, Большая Комитетская,Медведково,unknown,138888.88888888888
5762,Самолет Плюс МСК-Север,real_estate_agent,Королёв,sale,flat,5,5,2,59.5,7500000.0,2014,Вторичка,1 балкон,unknown,35.1,8.6,2.7,unknown, Героев Курсантов,Медведково,unknown,126050.42016806723
5763,Александр Кузин,realtor,Королёв,sale,flat,6,12,2,46.0,7500000.0,2014,Вторичка,1 балкон,Наземная,29.0,6.0,2.7,unknown,проезд Циолковского,Медведково,unknown,163043.47826086957
5764,Лидер Железнодорожный,real_estate_agent,Королёв,sale,flat,4,9,2,50.5,7500000.0,1988,Вторичка,1 лоджия,Наземная,28.0,7.5,2.7,unknown, Тихонравова,Медведково,unknown,148514.8514851485
5765,Лилия Рахматуллина,realtor,Королёв,sale,flat,3,12,2,54.3,7500000.0,1988,Вторичка,1 лоджия,Наземная,27.8,8.0,2.65,unknown, Горького,Медведково,unknown,138121.54696132598
5766,Метражи group,real_estate_agent,Королёв,sale,flat,3,3,2,56.7,7650000.0,2014,Вторичка,1 балкон,unknown,38.0,7.0,2.7,unknown, Коминтерна,Медведково,unknown,134920.6349206349
5767,ВРЕМЯ РЕШЕНИЙ,real_estate_agent,Королёв,sale,flat,2,18,2,51.1,7690000.0,1975,Вторичка,unknown,Открытая,32.0,10.0,2.6,unknown, 50-летия ВЛКСМ,Медведково,unknown,150489.23679060664
5768,Городок,real_estate_agent,Королёв,sale,flat,1,3,2,46.0,7750000.0,1956,Вторичка,unknown,Наземная,32.0,10.0,3.0,unknown, Разина,ВДНХ,unknown,168478.26086956522
5769,Дмитрий Мелентьев,realtor,Королёв,sale,flat,1,12,2,51.0,7800000.0,1982,Вторичка,unknown,unknown,29.4,8.5,2.64,unknown,проспект Космонавтов,Медведково,unknown,152941.17647058822
5770,Городок,real_estate_agent,Королёв,sale,flat,4,9,2,43.9,7750000.0,1980,Вторичка,unknown,Наземная,27.0,6.0,2.55,unknown, Горького,Медведково,unknown,176537.5854214123
5771,Ольга Залевская,realtor,Королёв,sale,flat,4,12,2,52.0,8000000.0,2014,Вторичка,unknown,unknown,22.0,8.0,2.7,мкр. Новые Подлипки,проспект Королева,unknown,unknown,153846.15384615384
5772,Дмитрий Мелентьев,realtor,Королёв,sale,flat,1,9,2,42.9,8000000.0,2014,Вторичка,1 лоджия,unknown,27.0,7.0,2.7,unknown, Калининградская,Медведково,unknown,186480.18648018647
5773,АЛЬЯНС Недвижимость,real_estate_agent,Королёв,sale,flat,1,4,2,52.0,8200000.0,2017,Вторичка,1 лоджия,Наземная,30.0,12.0,2.7,unknown,Бурковский проезд,Ботанический сад,Театральный парк,157692.3076923077
5774,Городок,real_estate_agent,Королёв,sale,flat,3,5,2,43.5,8200000.0,1969,Вторичка,1 балкон,Наземная,25.0,6.0,2.7,unknown, Горького,Медведково,unknown,188505.7471264368
5775,Ирина Сафонова,realtor,Королёв,sale,flat,7,17,2,53.9,8250000.0,1997,Вторичка,1 балкон,Наземная,22.0,14.0,2.7,unknown,Дворцовый проезд,Медведково,unknown,153061.22448979592
5776,Самолет Плюс Королёв,real_estate_agent,Королёв,sale,flat,4,5,2,59.0,8290000.0,1979,Вторичка,unknown,unknown,32.0,14.0,2.7,unknown, Богомолова,Медведково,unknown,140508.4745762712
5778,Марина Королева,realtor,Королёв,sale,flat,9,16,2,51.4,8300000.0,1989,Вторичка,1 балкон,Наземная,30.3,8.3,2.7,unknown, Горького,Медведково,unknown,161478.5992217899
5780,Самолет Плюс Мытищи,real_estate_agent,Королёв,sale,flat,4,9,2,52.3,8300000.0,2014,Вторичка,1 балкон,unknown,29.0,8.5,2.7,unknown, Большая Комитетская,Медведково,unknown,158699.8087954111
5781,Три Ступени,real_estate_agent,Королёв,sale,flat,10,12,2,53.0,8400000.0,2014,Вторичка,1 лоджия,unknown,22.0,9.0,2.7,unknown, Исаева,Медведково,unknown,158490.56603773584
5782,Александр Кравец,realtor,Королёв,sale,flat,2,17,2,51.2,8500000.0,2006,Вторичка,1 лоджия,Наземная,30.0,9.0,2.75,unknown, Горького,Медведково,unknown,166015.625
5783,ИНКОМ-Недвижимость,real_estate_agent,Королёв,sale,flat,1,5,2,45.6,5600000.0,2014,Вторичка,unknown,unknown,31.0,6.0,2.7,unknown, Мичурина,Щёлковская,unknown,122807.01754385965
5784,ID 85499581,realtor,Королёв,sale,flat,2,5,2,44.2,6050000.0,1960,Вторичка,1 балкон,Наземная,26.3,5.7,2.7,unknown, Карла Маркса,Медведково,unknown,136877.82805429865
5785,Яна Зыкова,realtor,Королёв,sale,flat,1,5,1,45.0,2700000.0,1961,Вторичка,unknown,Наземная,28.0,6.0,2.7,unknown, Толстого,ВДНХ,unknown,60000.0
5786,ID 441659,realtor,Королёв,sale,flat,11,17,2,58.2,8600000.0,2005,Вторичка,1 лоджия,unknown,35.0,8.2,2.7,unknown, Маяковского,Медведково,unknown,147766.323024055
5787,Городская недвижимость,real_estate_agent,Королёв,sale,flat,3,9,2,52.7,8790000.0,1992,Вторичка,1 лоджия,Наземная,30.6,8.8,2.7,unknown, Пушкинская,Медведково,unknown,166793.1688804554
5788,ID 441659,realtor,Королёв,sale,flat,2,17,2,63.7,10950000.0,2013,Вторичка,1 лоджия,Наземная,32.7,11.2,2.75,unknown, Маяковского,ВДНХ,unknown,171899.5290423862
5790,Метражи group,real_estate_agent,Королёв,sale,flat,16,19,2,71.0,12780000.0,2018,Вторичка,2 лоджии,unknown,32.0,10.0,2.7,unknown, М.К. Тихонравова,Медведково,unknown,180000.0
5792,ГАРАНТ,real_estate_agent,Королёв,sale,flat,3,5,2,43.0,5990000.0,1964,Вторичка,1 балкон,Наземная,31.0,6.0,2.55,unknown, Военных Строителей,Медведково,unknown,139302.32558139536
5793,ID 88024767,homeowner,Королёв,sale,flat,9,9,2,45.0,6900000.0,1973,Вторичка,1 лоджия,Наземная,27.0,7.0,2.7,unknown, Калининградская,Медведково,unknown,153333.33333333334
5794,ID 41260782,homeowner,Королёв,sale,flat,6,9,1,49.0,3700000.0,1988,Вторичка,1 балкон,Наземная,30.0,8.0,2.8,unknown, М.К. Тихонравова,Медведково,unknown,75510.20408163265
5795,ID 19526,realtor,Королёв,sale,flat,14,26,2,59.8,9400000.0,2017,Вторичка,2 балкона,Подземная,35.0,10.4,2.7,unknown,Пионерская ,Ботанический сад,Золотые ворота,157190.63545150502
5796,Городок,real_estate_agent,Королёв,sale,flat,8,9,2,54.0,8900000.0,1980,Вторичка,1 лоджия,Наземная,30.0,7.2,2.6,unknown,Прудная ,Медведково,unknown,164814.8148148148
5797,Руслана Прудченко,realtor,Королёв,sale,flat,5,5,2,43.9,5500000.0,1964,Вторичка,1 балкон,Наземная,28.8,6.0,2.7,unknown, Павлова,Медведково,unknown,125284.73804100229
5799,ИНФИНИТИ,real_estate_agent,Королёв,sale,flat,6,17,2,60.1,11600000.0,1993,Вторичка,1 лоджия,Открытая,34.0,10.0,2.8,unknown, Соколова,Медведково,unknown,193011.6472545757
5800,Мира Преображенская,realtor,Королёв,sale,flat,16,17,2,69.0,10000000.0,2014,Вторичка,1 лоджия,Наземная,35.5,10.4,2.75,unknown,Пионерская ,Медведково,unknown,144927.53623188406
5801,ID 110451685,homeowner,Королёв,sale,flat,5,9,2,37.4,6400000.0,1966,Вторичка,1 балкон,unknown,22.0,8.0,2.7,unknown, Грабина,Ростокино,unknown,171122.99465240643
5802,Екатерина Ярцева,realtor,Королёв,sale,flat,7,9,2,37.2,6500000.0,1965,Вторичка,1 балкон,Наземная,22.2,7.5,2.8,unknown, Грабина,Медведково,unknown,174731.1827956989
5803,ТРИУМФ,real_estate_agent,Королёв,sale,flat,3,4,2,43.5,5599000.0,1960,Вторичка,unknown,Наземная,29.0,6.5,2.7,unknown, Мичурина,Щёлковская,unknown,128712.64367816092
5804,ТСН Владис,real_estate_agent,Королёв,sale,flat,4,4,2,60.0,10800000.0,2014,Вторичка,unknown,Наземная,30.0,14.0,2.8,unknown, Горького,Медведково,Валентиновка парк,180000.0
5805,Метражи group,real_estate_agent,Королёв,sale,flat,4,17,2,50.3,10400000.0,2018,Вторичка,unknown,unknown,27.0,9.0,2.7,unknown, Академика Легостаева,Медведково,Парад планет,206759.44333996024
5806,ID 67731343,real_estate_agent,Королёв,sale,flat,5,5,2,39.0,4900000.0,1969,Вторичка,1 балкон,unknown,21.0,8.0,2.7,unknown, Мичурина,Щёлковская,unknown,125641.02564102564
5807,Метражи group,real_estate_agent,Королёв,sale,flat,17,17,2,49.5,10500000.0,2018,Вторичка,unknown,unknown,26.3,7.8,2.7,unknown, Академика Легостаева,Медведково,Парад планет,212121.21212121213
5809,Игорь Коляденко,realtor,Королёв,sale,flat,4,17,2,52.0,10250000.0,2001,Вторичка,1 лоджия,Наземная,30.0,10.0,2.75,unknown,проспект Космонавтов,Медведково,unknown,197115.38461538462
5810,ID 249722,unknown,Королёв,sale,flat,8,19,2,57.8,8900000.0,2023,Вторичка,2 лоджии,Наземная,30.4,11.0,2.7,unknown, Лермонтова,Медведково,Лермонтова 10,153979.23875432526
5812,Инна Ломанова,realtor,Королёв,sale,flat,3,9,2,44.0,8700000.0,2014,Вторичка,"1 лоджия, 1 балкон",Наземная,28.0,6.0,2.6,unknown,проспект Королева,ВДНХ,unknown,197727.27272727274
5813,Алена Косолапова,realtor,Королёв,sale,flat,14,14,2,51.0,9399000.0,1998,Вторичка,1 балкон,Наземная,30.3,8.4,2.7,unknown, Горького,Медведково,unknown,184294.11764705883
5814,ID 24319431,unknown,Королёв,sale,flat,9,9,2,44.3,6700000.0,1974,Вторичка,1 балкон,Наземная,22.0,6.0,2.5,unknown, Соколова,Медведково,unknown,151241.53498871333
5815,Елена Максимченко,realtor,Королёв,sale,flat,2,4,2,55.4,11000000.0,2016,Вторичка,1 лоджия,Наземная,32.6,9.0,2.9,unknown, Горького,Медведково,Валентиновка парк,198555.95667870037
5816,ID 81628834,homeowner,Королёв,sale,flat,16,16,2,62.0,8500000.0,1989,Вторичка,1 лоджия,Наземная,33.8,10.5,2.7,unknown, Горького,Медведково,unknown,137096.7741935484
5817,Владимир Сёмин,realtor,Королёв,sale,flat,1,5,2,41.8,5500000.0,1967,Вторичка,unknown,Наземная,27.1,5.6,2.5,unknown, Сакко и Ванцетти,Медведково,unknown,131578.94736842107
5818,iRealty,real_estate_agent,Королёв,sale,flat,4,17,2,48.0,6300000.0,2025,Новостройка,1 лоджия,Многоуровневая,37.0,5.2,2.8,unknown,Советская ,ВДНХ,River Park,131250.0
5820,ТСН Владис,real_estate_agent,Королёв,sale,flat,7,14,2,50.3,8900000.0,1988,Вторичка,1 лоджия,unknown,30.0,8.0,2.65,unknown,проспект Космонавтов,Медведково,unknown,176938.36978131213
5821,Александра Волчек,realtor,Королёв,sale,flat,3,5,2,41.0,5750000.0,1970,Вторичка,1 балкон,unknown,28.0,6.0,2.7,unknown,Советская ,Медведково,unknown,140243.9024390244
5822,НПЮ-Недвижимость,real_estate_agent,Королёв,sale,flat,2,15,2,55.3,10400000.0,2014,Вторичка,1 балкон,Наземная,28.0,12.0,3.0,unknown, Ленинская,Медведково,квартал Ленинский 1,188065.09945750452
5823,Деловой центр Дом,real_estate_agent,Королёв,sale,flat,6,10,2,60.8,11950000.0,2005,Вторичка,3 лоджии,unknown,31.3,13.6,2.7,unknown, Большая Комитетская,Медведково,unknown,196546.05263157896
5825,WHITE BROKER,real_estate_agent,Королёв,sale,flat,6,17,2,64.9,9250000.0,2003,Вторичка,1 лоджия,unknown,37.0,11.0,2.7,unknown, Мичурина,Щёлковская,unknown,142526.96456086286
5826,ID 2087,realtor,Королёв,sale,flat,1,10,2,49.0,6700000.0,2014,Вторичка,1 лоджия,unknown,28.9,7.8,2.7,unknown, Соколова,Медведково,unknown,136734.693877551
5829,Екатерина Ярцева,realtor,Королёв,sale,flat,1,5,2,54.3,7300000.0,2005,Вторичка,1 лоджия,Наземная,34.3,8.4,2.7,unknown,Лесная ,Медведково,unknown,134438.30570902396
5830,Владис,real_estate_agent,Королёв,sale,flat,9,17,2,51.7,9900000.0,2011,Вторичка,1 лоджия,Наземная,30.3,9.8,2.65,unknown,Пионерская ,Медведково,unknown,191489.36170212764
5833,Алик Рубенов,realtor,Королёв,sale,flat,6,17,2,74.0,12900000.0,2014,Вторичка,1 лоджия,Наземная,32.0,12.0,2.7,unknown,Пионерская ,Медведково,unknown,174324.32432432432
5834,Мария Кувшинникова,realtor,Королёв,sale,flat,14,19,2,71.2,13000000.0,2014,Вторичка,1 балкон,Наземная,34.0,12.5,2.8,unknown, М.К. Тихонравова,Медведково,unknown,182584.26966292135
5835,ИНКОМ-Недвижимость,real_estate_agent,Королёв,sale,flat,7,22,2,69.0,13000000.0,2014,Вторичка,1 лоджия,unknown,37.2,10.6,2.7,unknown,Пионерская ,Медведково,unknown,188405.79710144928
5836,ВРЕМЯ РЕШЕНИЙ,real_estate_agent,Королёв,sale,flat,18,18,2,73.8,13200000.0,2018,Вторичка,"1 лоджия, 1 балкон",unknown,34.0,12.5,2.7,unknown, М.К. Тихонравова,Медведково,unknown,178861.7886178862
5871,ГОРОДА,real_estate_agent,Химки,sale,flat,1,5,1,35.2,5400000.0,1979,Вторичка,1 балкон,unknown,18.9,7.9,2.7,unknown, Фрунзе,Сходня,unknown,153409.09090909088
5872,Этажи Москва,real_estate_agent,Химки,sale,flat,16,26,1,25.0,6649999.0,2017,Вторичка,unknown,Подземная,22.0,3.0,2.64,unknown,9 Мая ,Молжаниново,unknown,265999.96
5873,Century21 Феникс,real_estate_agent,Химки,sale,flat,9,17,1,42.2,7777777.0,2013,Вторичка,1 лоджия,unknown,20.0,8.0,2.7,unknown,unknown,Молжаниново,unknown,184307.5118483412
5874,Этажи Москва,real_estate_agent,Химки,sale,flat,3,25,1,27.1,8099999.0,2017,Вторичка,unknown,unknown,22.0,9.0,2.64,unknown,9 Мая ,Молжаниново,Ленинградский,298892.9520295203
5876,Этажи Москва,real_estate_agent,Химки,sale,flat,6,14,1,36.0,8950000.0,1976,Вторичка,1 лоджия,unknown,20.0,8.0,2.5,unknown, Кудрявцева,Химки,unknown,248611.11111111112
5877,1-й ДСК,developer,Химки,sale,flat,5,17,1,34.2,8614980.0,2027,Новостройка,1 балкон,Подземная,11.1,12.7,2.84,unknown,unknown,Подрезково,1-й Шереметьевский,251899.99999999997
5879,ЖилСтрой,developer,Химки,sale,flat,8,14,1,37.1,11109232.0,2025,Новостройка,unknown,Подземная,22.0,8.7,3.0,unknown,unknown,Планерная,Планерный квартал ЖК,299440.2156334232
5880,Life Style,real_estate_agent,Химки,sale,flat,4,5,1,42.0,9300000.0,2014,Вторичка,unknown,Наземная,20.0,14.0,2.7,unknown, Ивановская,Молжаниново,unknown,221428.57142857142
5881,Этажи Москва,real_estate_agent,Химки,sale,flat,13,25,1,42.0,9800000.0,2008,Вторичка,unknown,unknown,22.0,10.4,2.64,unknown,Молодежная ,Молжаниново,unknown,233333.33333333334
5882,ЖилСтрой,developer,Химки,sale,flat,1,6,1,43.94,14596128.0,2025,Новостройка,unknown,Подземная,22.0,8.7,3.0,unknown,unknown,Планерная,Планерный квартал ЖК,332183.15885298135
5884,1-й ДСК,developer,Химки,sale,flat,13,13,1,34.4,7041680.0,2026,Новостройка,1 балкон,Подземная,10.2,11.2,2.72,unknown,unknown,Хлебниково,1-й Химкинский ЖК,204700.0
5885,МИЭЛЬ,real_estate_agent,Химки,sale,flat,2,17,1,36.4,7200000.0,2014,Вторичка,unknown,unknown,19.0,7.0,2.7,unknown, Марии Рубцовой,Молжаниново,unknown,197802.1978021978
5886,ГРАД,developer,Химки,sale,flat,5,20,1,39.0,8922550.0,2026,Новостройка,unknown,unknown,22.0,8.7,2.75,unknown,unknown,Молжаниново,Химки Тайм ЖК,228783.33333333334
5887,ID 25061,realtor,Химки,sale,flat,5,17,1,42.0,7580000.0,2016,Вторичка,"1 лоджия, 1 балкон",Наземная,12.0,17.0,2.8,unknown, Германа Титова,Химки,Солнечная система,180476.19047619047
5888,Классика,real_estate_agent,Химки,sale,flat,4,14,1,41.5,7650000.0,1975,Вторичка,1 лоджия,unknown,18.2,9.3,2.65,unknown, Дружбы,Молжаниново,unknown,184337.34939759035
5889,ID 119680706,homeowner,Химки,sale,flat,8,17,1,43.2,8250000.0,2014,Вторичка,1 балкон,Наземная,18.0,11.2,2.8,unknown,Центральная ,Подрезково,unknown,190972.22222222222
5891,1-й ДСК,developer,Химки,sale,flat,11,17,1,38.1,10001250.0,2027,Новостройка,1 балкон,Подземная,14.8,10.4,2.84,unknown,unknown,Подрезково,1-й Шереметьевский,262500.0
5892,ID 31112,unknown,Химки,sale,flat,18,25,1,42.1,8500000.0,2008,Вторичка,1 лоджия,Подземная,17.8,10.5,2.75,unknown, Панфилова,Химки,unknown,201900.2375296912
5893,1-й ДСК,developer,Химки,sale,flat,15,17,1,40.2,9929400.0,2027,Новостройка,1 балкон,Подземная,17.1,11.2,2.84,unknown,unknown,Подрезково,1-й Шереметьевский,246999.99999999997
5894,Виктория Трубина,realtor,Химки,sale,flat,18,22,1,45.0,9500000.0,2008,Вторичка,1 лоджия,Наземная,20.0,10.5,3.0,unknown, Мельникова,Молжаниново,unknown,211111.11111111112
5895,1-й ДСК,developer,Химки,sale,flat,2,16,1,32.6,8224980.0,2027,Новостройка,1 балкон,Подземная,11.7,11.1,2.84,unknown,unknown,Подрезково,1-й Шереметьевский,252300.0
5897,ID 119833616,homeowner,Химки,sale,flat,4,5,1,30.3,2800000.0,1964,Вторичка,1 балкон,Наземная,18.5,6.0,2.7,unknown,Ленинский проспект,Химки,unknown,92409.2409240924
5898,1-й ДСК,developer,Химки,sale,flat,2,16,1,35.6,8483480.0,2027,Новостройка,1 балкон,Подземная,11.7,13.6,2.84,unknown,unknown,Подрезково,1-й Шереметьевский,238300.0
5900,ID 501373,homeowner,Химки,sale,flat,1,8,1,36.8,6250000.0,2015,Вторичка,unknown,Наземная,22.0,6.0,2.8,unknown,Овражная ,Сходня,На Овражной,169836.95652173914
5901,1-й ДСК,developer,Химки,sale,flat,7,12,1,34.8,6819408.0,2026,Новостройка,1 балкон,Подземная,10.4,10.2,2.72,unknown,unknown,Хлебниково,1-й Химкинский ЖК,195960.00000000003
5902,Классика,real_estate_agent,Химки,sale,flat,8,9,1,33.6,7200000.0,2018,Вторичка,1 лоджия,Наземная,14.4,8.1,2.8,unknown, Германа Титова,Химки,Солнечная система,214285.7142857143
5904,1-й ДСК,developer,Химки,sale,flat,13,16,1,32.8,7106448.0,2026,Новостройка,1 балкон,Подземная,10.0,10.4,2.72,unknown,unknown,Хлебниково,1-й Химкинский ЖК,216660.00000000003
5905,ID 410409,realtor,Химки,sale,flat,5,5,1,34.2,7400000.0,2019,Вторичка,unknown,Наземная,20.0,11.0,2.8,unknown, Ивановская,Молжаниново,unknown,216374.26900584795
5906,ГОРОБМЕН,real_estate_agent,Химки,sale,flat,5,5,1,30.4,6400000.0,1960,Вторичка,1 балкон,Наземная,18.0,6.0,2.5,unknown,9 Мая ,Химки,unknown,210526.31578947368
5907,Rich-Недвижимость,real_estate_agent,Химки,sale,flat,3,8,1,30.0,6000000.0,2012,Вторичка,1 балкон,Наземная,16.0,9.0,2.7,мкр. Сходня,Овражная ,unknown,unknown,200000.0
5909,Галина Лубенец,realtor,Химки,sale,flat,4,9,1,31.5,6350000.0,1973,Вторичка,unknown,Наземная,17.9,6.5,2.7,unknown,Юбилейный проспект,Химки,unknown,201587.3015873016
5910,Людмила Бабаева,realtor,Химки,sale,flat,18,22,1,41.9,8000000.0,2006,Вторичка,1 лоджия,Наземная,22.0,11.0,2.66,unknown, Мельникова,Молжаниново,unknown,190930.78758949882
5911,Триумфальная Арка,real_estate_agent,Химки,sale,flat,17,25,1,41.8,8650000.0,2014,Вторичка,2 лоджии,Открытая,18.0,10.4,2.8,unknown,Совхозная ,Левобережная,unknown,206937.7990430622
5912,Классика,real_estate_agent,Химки,sale,flat,2,26,1,41.4,8900000.0,2017,Вторичка,unknown,Подземная,22.0,9.0,2.8,unknown,9 Мая ,Молжаниново,unknown,214975.84541062804
5913,ID 98941691,homeowner,Химки,sale,flat,12,13,1,36.2,8000000.0,1994,Вторичка,1 лоджия,Наземная,18.6,8.6,2.7,unknown, Панфилова,Химки,unknown,220994.47513812152
5914,Гарант-недвижимость ЗелАО,real_estate_agent,Химки,sale,flat,14,23,1,41.5,8990000.0,2016,Вторичка,1 лоджия,Подземная,17.7,10.4,2.7,unknown, Родионова,Молжаниново,Новокуркино,216626.5060240964
5915,ИП Самарская М. И.,real_estate_agent,Химки,sale,flat,6,27,1,46.3,10300000.0,2016,Вторичка,1 лоджия,Наземная,18.2,17.8,2.7,unknown,Молодежная ,Молжаниново,Менделеев,222462.2030237581
5916,Владис,real_estate_agent,Химки,sale,flat,5,25,1,47.0,9000000.0,2010,Вторичка,1 лоджия,Наземная,23.0,15.0,2.7,unknown,Совхозная ,Левобережная,unknown,191489.36170212767
5917,Елена Ешина,realtor,Химки,sale,flat,10,26,1,38.2,10800000.0,2015,Вторичка,1 балкон,Подземная,17.7,9.7,3.0,unknown, Юннатов,Химки,Правый берег,282722.5130890052
5919,ЕГСН Продажа,real_estate_agent,Химки,sale,flat,1,2,1,23.6,2500000.0,2014,Вторичка,unknown,unknown,15.6,3.0,2.7,unknown, Горького,Сходня,unknown,105932.20338983051
5920,Вита-Риэлти,real_estate_agent,Химки,sale,flat,4,5,1,17.6,3650000.0,2014,Вторичка / Апартаменты,1 балкон,Наземная,13.0,3.0,3.0,unknown, Ивановская,Молжаниново,unknown,207386.36363636362
5921,Капитал Недвижимость,real_estate_agent,Химки,sale,flat,2,2,1,30.0,3800000.0,1970,Вторичка,1 балкон,Наземная,18.0,7.0,2.7,unknown,Первомайская ,Сходня,unknown,126666.66666666667
5922,1-й ДСК,developer,Химки,sale,flat,15,16,1,37.4,7982656.0,2026,Новостройка,1 балкон,Подземная,11.1,11.6,2.72,unknown,unknown,Хлебниково,1-й Химкинский ЖК,213440.0
5924,ЖилСтрой,developer,Химки,sale,flat,8,17,1,30.03,10269482.0,2025,Новостройка,unknown,Подземная,22.0,8.7,3.0,unknown,unknown,Планерная,Планерный квартал ЖК,341974.09257409256
5925,ГОРОБМЕН,real_estate_agent,Химки,sale,flat,2,9,1,22.1,4699999.0,2014,Вторичка / Апартаменты,unknown,unknown,13.1,4.0,2.7,unknown,Ленинский проспект,Химки,Лесной уголок,212669.63800904976
5926,Самолет,developer,Химки,sale,flat,12,14,1,22.91,6484331.0,2024,Новостройка,1 балкон,Открытая,12.2,3.0,3.0,unknown,unknown,Шереметьевская,Квартал Ивакино ЖК,283034.9628982977
5927,Домина Групп,real_estate_agent,Химки,sale,flat,5,5,1,31.6,4700000.0,1964,Вторичка,1 балкон,Наземная,18.0,5.6,2.6,unknown, Мира,Подрезково,unknown,148734.17721518988
5929,Самолет,developer,Химки,sale,flat,11,11,1,34.08,6582480.0,2025,Новостройка,unknown,Открытая,10.2,15.3,3.0,unknown,unknown,Хлебниково,Квартал Ивакино ЖК,193147.88732394367
5930,Зеленый проспект,real_estate_agent,Химки,sale,flat,4,5,1,23.8,4800000.0,2014,Вторичка,unknown,unknown,15.5,3.3,2.7,unknown, Мичурина,Химки,unknown,201680.67226890757
5931,Самолет,developer,Химки,sale,flat,7,17,1,22.83,5487762.0,2024,Новостройка,1 балкон,Открытая,12.2,3.0,3.0,unknown,unknown,Шереметьевская,Квартал Ивакино ЖК,240375.03285151118
5933,Самолет,developer,Химки,sale,flat,2,17,1,32.66,6200429.0,2024,Новостройка,unknown,Открытая,9.2,16.1,3.0,unknown,unknown,Хлебниково,Квартал Ивакино ЖК,189847.79546846298
5934,MiniStudioRealty,real_estate_agent,Химки,sale,flat,5,5,1,20.9,4900000.0,1962,Вторичка,1 балкон,Наземная,22.0,3.0,2.9,unknown,unknown,Шереметьевская,unknown,234449.76076555025
